Date,VIX,Open,High,Low,Close,regime_class
1990-11-02,30.03,307.02,311.94,306.88,311.85,4
1990-11-05,29.85,311.85,314.61,311.41,314.59,4
1990-11-06,29.11,314.59,314.76,311.43,311.62,4
1990-11-07,30.87,311.62,311.62,305.79,306.01,4
1990-11-08,30.79,306.01,309.77,305.03,307.61,4
1990-11-09,26.96,307.61,313.78,307.61,313.74,4
1990-11-12,25.6,313.74,319.77,313.73,319.48,4
1990-11-13,24.58,319.48,319.48,317.26,317.67,4
1990-11-14,22.89,317.66,321.7,317.23,320.4,4
1990-11-15,22.57,320.4,320.4,316.13,317.02,4
1990-11-16,21.34,317.02,318.8,314.99,317.12,4
1990-11-19,20.95,317.15,319.39,317.15,319.34,5
1990-11-20,20.09,319.34,319.34,315.31,315.31,5
1990-11-21,21.09,315.31,316.15,312.42,316.03,5
1990-11-23,20.98,316.03,317.3,315.06,315.1,5
1990-11-26,22.76,315.08,316.51,311.48,316.51,5
1990-11-27,22.86,316.51,318.69,315.8,318.1,5
1990-11-28,22.96,318.11,319.96,317.62,317.95,5
1990-11-29,23.91,317.95,317.95,315.03,316.42,5
1990-11-30,22.16,316.42,323.02,315.42,322.22,5
1990-12-03,22.29,322.23,324.9,322.23,324.1,5
1990-12-04,22.03,324.11,326.77,321.97,326.35,5
1990-12-05,20.94,326.36,329.92,325.66,329.92,5
1990-12-06,22.62,329.94,333.98,328.37,329.07,5
1990-12-07,22.59,329.09,329.39,326.39,327.75,5
1990-12-10,23.58,327.75,328.97,326.15,328.89,5
1990-12-11,23.75,328.88,328.88,325.65,326.44,5
1990-12-12,21.28,326.44,330.36,326.44,330.19,5
1990-12-13,23.05,330.14,330.58,328.77,329.34,5
1990-12-14,23.85,329.34,329.34,325.16,326.82,5
1990-12-17,24.85,326.82,326.82,324.46,326.02,5
1990-12-18,23.11,326.02,330.43,325.75,330.05,6
1990-12-19,23.08,330.04,330.8,329.39,330.2,6
1990-12-20,23.13,330.2,330.74,326.94,330.12,6
1990-12-21,22.66,330.12,332.47,330.12,331.75,6
1990-12-24,24.03,331.74,331.74,329.16,329.9,6
1990-12-26,24.18,329.89,331.69,329.89,330.85,6
1990-12-27,24.81,330.85,331.04,328.23,328.29,6
1990-12-28,25.05,328.29,328.72,327.24,328.72,6
1990-12-31,26.38,328.71,330.23,327.5,330.22,6
1991-01-02,26.62,330.2,330.75,326.45,326.45,6
1991-01-03,27.93,326.46,326.53,321.9,321.91,6
1991-01-04,27.19,321.91,322.35,318.87,321.0,6
1991-01-07,28.95,320.97,320.97,315.44,315.44,6
1991-01-08,30.38,315.44,316.97,313.79,314.9,6
1991-01-09,33.3,314.9,320.73,310.93,311.49,6
1991-01-10,31.33,311.51,314.77,311.51,314.53,6
1991-01-11,32.63,314.53,315.24,313.59,315.23,6
1991-01-14,36.2,315.23,315.23,309.35,312.49,6
1991-01-15,36.16,312.49,313.73,311.84,313.73,6
1991-01-16,33.2,313.73,316.94,312.94,316.17,7
1991-01-17,27.45,316.25,327.97,316.25,327.97,7
1991-01-18,25.39,327.93,332.23,327.08,332.23,7
1991-01-21,24.33,332.23,332.23,328.87,331.06,7
1991-01-22,24.9,331.06,331.26,327.83,328.31,7
1991-01-23,23.92,328.3,331.04,327.93,330.21,7
1991-01-24,22.86,330.21,335.83,330.19,334.78,7
1991-01-25,22.2,334.78,336.92,334.2,336.07,7
1991-01-28,23.05,336.06,337.41,335.81,336.03,7
1991-01-29,23.17,336.03,336.03,334.26,335.84,7
1991-01-30,21.37,335.8,340.91,335.71,340.91,7
1991-01-31,20.91,340.92,343.93,340.47,343.93,7
1991-02-01,21.04,343.91,344.9,340.37,343.05,7
1991-02-04,21.86,343.05,348.71,342.96,348.34,7
1991-02-05,21.46,348.34,351.84,347.21,351.26,7
1991-02-06,22.68,351.26,358.07,349.58,358.07,7
1991-02-07,23.6,358.07,363.43,355.53,356.52,7
1991-02-08,23.38,356.52,359.35,356.02,359.35,7
1991-02-11,22.56,359.36,368.58,359.32,368.58,7
1991-02-12,22.26,368.58,370.54,365.5,365.5,7
1991-02-13,20.86,365.5,369.49,364.64,369.02,7
1991-02-14,21.48,369.02,370.26,362.77,364.22,7
1991-02-15,19.57,364.23,369.49,364.23,369.06,8
1991-02-19,19.84,369.06,370.11,367.05,369.39,8
1991-02-20,22.26,369.37,369.37,364.38,365.14,8
1991-02-21,20.78,365.14,366.79,364.5,364.97,8
1991-02-22,21.01,364.97,370.96,364.23,365.65,8
1991-02-25,22.86,365.65,370.19,365.16,367.26,8
1991-02-26,20.38,367.26,367.26,362.19,362.81,8
1991-02-27,21.26,362.81,368.38,362.81,367.74,8
1991-02-28,21.23,367.73,369.91,365.95,367.07,8
1991-03-04,20.86,370.47,371.99,369.07,369.33,8
1991-03-05,20.45,369.33,377.89,369.33,376.72,8
1991-03-06,20.55,376.72,379.66,375.02,376.17,8
1991-03-07,21.05,376.16,377.49,375.58,375.91,8
1991-03-08,20.81,375.91,378.69,374.43,374.95,8
1991-03-11,20.88,374.94,375.1,372.52,372.96,8
1991-03-12,18.82,372.96,374.35,369.55,370.03,8
1991-03-13,16.09,370.03,374.65,370.03,374.57,8
1991-03-14,14.94,374.59,378.28,371.76,373.5,8
1991-03-15,14.9,373.5,374.58,370.21,373.59,8
1991-03-18,15.79,373.59,374.09,369.46,372.11,9
1991-03-19,16.11,372.11,372.11,366.54,366.59,9
1991-03-20,16.04,366.59,368.85,365.8,367.92,9
1991-03-21,16.86,367.94,371.01,366.51,366.58,9
1991-03-22,16.49,366.58,368.22,365.58,367.48,9
1991-03-25,16.76,367.48,371.31,367.46,369.83,9
1991-03-26,16.31,369.83,376.3,369.37,376.3,9
1991-03-27,16.55,376.28,378.48,374.73,375.35,9
1991-03-28,16.88,375.35,376.6,374.4,375.22,9
1991-04-01,17.42,375.22,375.22,370.27,371.3,9
1991-04-02,17.4,371.3,379.5,371.3,379.5,9
1991-04-03,17.61,379.5,381.56,378.49,378.94,9
1991-04-04,18.01,378.94,381.88,377.05,379.77,9
1991-04-05,17.63,379.78,381.12,374.15,375.36,9
1991-04-08,17.41,375.35,378.76,374.69,378.66,9
1991-04-09,20.12,378.65,379.02,373.11,373.56,9
1991-04-10,19.73,373.57,374.83,371.21,373.15,9
1991-04-11,17.24,373.15,379.53,373.15,377.63,9
1991-04-12,18.45,377.65,381.07,376.89,380.4,9
1991-04-15,16.5,380.4,382.32,378.78,381.19,10
1991-04-16,15.82,381.19,387.62,379.64,387.62,10
1991-04-17,15.47,387.62,391.26,387.3,390.45,10
1991-04-18,16.26,390.45,390.97,388.13,388.46,10
1991-04-19,15.68,388.46,388.46,383.9,384.2,10
1991-04-22,16.78,384.19,384.19,380.16,380.95,10
1991-04-23,17.02,380.95,383.55,379.67,381.76,10
1991-04-24,16.72,381.76,383.02,379.99,382.76,10
1991-04-25,17.15,382.89,382.89,378.43,379.25,10
1991-04-26,17.27,379.25,380.11,376.77,379.02,10
1991-04-29,18.27,379.01,380.96,373.66,373.66,10
1991-04-30,18.24,373.66,377.86,373.01,375.34,10
1991-05-01,17.77,375.35,380.46,375.27,380.29,10
1991-05-02,17.52,380.29,382.14,379.82,380.52,10
1991-05-03,17.24,380.52,381.0,378.82,380.8,10
1991-05-06,17.92,380.78,380.78,377.86,380.08,10
1991-05-07,17.46,380.08,380.91,377.31,377.32,10
1991-05-08,17.78,377.33,379.26,376.21,378.51,10
1991-05-09,17.17,378.51,383.56,378.51,383.25,10
1991-05-10,17.54,383.26,383.91,375.61,375.74,10
1991-05-13,17.66,375.74,377.02,374.62,376.76,10
1991-05-14,18.0,375.51,375.53,370.82,371.62,11
1991-05-15,18.38,371.55,372.47,365.83,368.57,11
1991-05-16,17.24,368.57,372.51,368.57,372.19,11
1991-05-17,16.64,372.19,373.01,369.44,372.39,11
1991-05-20,17.1,372.39,373.65,371.26,372.28,11
1991-05-21,16.07,372.28,376.66,372.28,375.35,11
1991-05-22,16.16,375.35,376.5,374.4,376.19,11
1991-05-23,16.11,376.19,378.07,373.55,374.96,11
1991-05-24,15.23,374.97,378.08,374.97,377.49,11
1991-05-28,15.67,377.49,382.1,377.12,381.94,11
1991-05-29,15.9,381.94,383.66,381.37,382.79,11
1991-05-30,16.02,382.79,388.17,382.5,386.96,11
1991-05-31,15.93,386.96,389.85,385.01,389.83,11
1991-06-03,16.87,389.81,389.81,386.97,388.06,11
1991-06-04,16.17,388.06,388.06,385.14,387.74,11
1991-06-05,16.4,387.74,388.23,384.45,385.09,11
1991-06-06,16.93,385.1,385.85,383.13,383.63,11
1991-06-07,16.98,383.63,383.63,378.76,379.43,11
1991-06-10,17.47,379.43,379.75,377.95,378.57,11
1991-06-11,17.32,378.57,381.63,378.57,381.05,11
1991-06-12,17.72,381.05,381.05,374.46,376.65,11
1991-06-13,16.99,376.65,377.9,376.08,377.63,12
1991-06-14,15.98,377.63,382.3,377.63,382.29,12
1991-06-17,15.5,382.3,382.31,380.13,380.13,12
1991-06-18,16.14,380.13,381.83,377.99,378.59,12
1991-06-19,17.44,378.57,378.57,374.36,375.09,12
1991-06-20,16.75,375.09,376.29,373.87,375.42,12
1991-06-21,16.51,375.42,377.75,375.33,377.75,12
1991-06-24,18.28,377.74,377.74,370.73,370.94,12
1991-06-25,17.85,370.94,372.62,369.56,370.65,12
1991-06-26,17.98,370.65,372.73,368.34,371.59,12
1991-06-27,17.87,371.59,374.4,371.59,374.4,12
1991-06-28,19.55,374.4,374.4,367.98,371.16,12
1991-07-01,18.64,371.18,377.92,371.18,377.92,12
1991-07-02,17.63,377.92,377.93,376.62,377.47,12
1991-07-03,19.47,377.47,377.47,372.08,373.33,12
1991-07-05,18.35,373.34,375.51,372.17,374.08,12
1991-07-08,20.29,374.09,377.94,370.92,377.94,12
1991-07-09,19.76,377.94,378.58,375.37,376.11,12
1991-07-10,19.19,376.11,380.35,375.2,375.74,12
1991-07-11,17.39,375.73,377.68,375.51,376.97,12
1991-07-12,18.29,376.97,381.41,375.79,380.25,1
1991-07-15,17.78,380.28,383.0,380.24,382.39,1
1991-07-16,17.49,382.39,382.94,380.8,381.54,1
1991-07-17,17.52,381.5,382.86,381.13,381.18,1
1991-07-18,15.77,381.18,385.37,381.18,385.37,1
1991-07-19,15.5,385.38,385.83,383.65,384.22,1
1991-07-22,16.9,384.21,384.55,381.84,382.88,1
1991-07-23,16.58,382.88,384.86,379.39,379.42,1
1991-07-24,16.41,379.42,380.46,378.29,378.64,1
1991-07-25,15.74,378.64,381.13,378.15,380.96,1
1991-07-26,15.45,380.96,381.76,379.81,380.93,1
1991-07-29,15.67,380.93,383.15,380.45,383.15,1
1991-07-30,15.47,383.15,386.92,383.15,386.69,1
1991-07-31,15.18,386.69,387.81,386.19,387.81,1
1991-08-01,15.47,387.81,387.95,386.48,387.12,1
